image,question,answer
image1286,"Does this image show kidney, papillitis, necrotizing?",yes
image1287,What does this image show?,kidney
image1287,"Does this image show kidney, malignant hypertension?",yes
image1287,"Does kidney, papillitis, show kidney, malignant hypertension?",no
image1287,Where is this?,urinary
image1288,What does this image show?,kidney
image1288,"Does this image show kidney, candida abscesses?",yes
image1288,Where is this?,urinary
image1288,"Does choanal patency show kidney, candida abscesses?",no
image1289,What does this image show?,kidney
image1289,"Does close-up tumor show kidney, cortical scarring from diabetes mellitus?",no
image1289,Where is this?,urinary
image1289,"Does this image show kidney, cortical scarring from diabetes mellitus?",yes
image1290,Does this image show hyoplasia of kidney?,yes
image1290,Does an opened peritoneal cavity cause by fibrous band strangulation show hyoplasia of kidney?,no
image1290,Where is this?,urinary
image1291,Where is this?,urinary
image1291,What does this image show?,kidney
image1292,What is present?,urinary
image1292,Where is this?,urinary
image1293,What does this image show?,kidney
image1293,"How many antitrypsin does this image show kidney, acute tubular necrosis due to coagulopathy, disseminated intravascular coagulation dic, and shock, alpha-deficiency?",1
image1293,Where is this?,urinary
image1294,What does this image show?,kidney
image1294,"Does this image show kidney, adult polycystic kidney?",yes
image1294,"Does feet show kidney, adult polycystic kidney?",no
image1294,Where is this?,urinary
image1295,Where is this?,urinary
image1296,What is present?,urinary
image1296,Where is this?,urinary
image1297,What does this image show?,kidney
image1297,Where is this?,urinary
image1298,Where is this?,urinary
image1298,What does this image show?,kidney
image1299,Where is this?,urinary
image1299,What is present?,urinary
image1299,What does this image show?,ureter
image1300,What does this image show?,kidney
image1300,Where is this?,urinary
image1301,Where is this?,urinary
image1301,What does this image show?,kidney
image1302,What is present?,urinary
image1302,Where is this?,urinary
image1303,What is present?,urinary
image1303,Where is this?,urinary
image1304,Where is this?,urinary
image1305,Where is this?,urinary
image1306,Where is this?,urinary
image1306,"Does this image show kidney, staghorn calculi?",yes
image1306,"Does this typical thecoma with yellow foci show kidney, staghorn calculi?",no
image1306,What does this image show?,kidney
image1307,"Does this image show kidney, lymphoma?",yes
image1307,What does this image show?,kidney
image1307,Where is this?,urinary
image1307,"Does anaplastic astrocytoma show kidney, lymphoma?",no
image1308,Is nodular parenchyma and dense present?,no
image1308,Is urinary present?,yes
image1308,What is present?,bladder
image1308,Is suture granuloma present?,no
image1308,What is present?,urinary
image1308,Is normal immature infant present?,no
image1308,Where is this?,urinary
image1308,Is bladder present?,yes
image1308,Is hemorrhagic cystitis present?,yes
image1309,Is renal cell carcinoma present?,yes
image1309,Is single metastatic appearing lesion present?,no
image1309,Is kidney present?,yes
image1309,Where is this?,urinary
image1309,Does this image show large lesion more hemorrhagic than usual -?,yes
image1309,What is present?,kidney
image1309,Does molluscum contagiosum show large lesion more hemorrhagic than usual -?,no
image1309,Is absence of palpebral fissure cleft palate present?,no
image1310,"Does bone, skull show left - native end stage kidneys right - renal allograft abdominal?",no
image1310,Where is this?,urinary
image1310,Does this image show left - native end stage kidneys right - renal allograft abdominal?,yes
image1311,Where is this?,urinary
image1311,Does this image show kidney aspergillosis?,yes
image1311,Does % show kidney aspergillosis?,no
image1312,Where is this?,urinary
image1312,Does this image show normal kidney?,yes
image1312,Does this section show normal kidney?,no
image1313,"Does this image show kidney, renal papillary necrosis, subacute?",yes
image1313,"Does lesion cross show kidney, renal papillary necrosis, subacute?",no
image1313,What does this image show?,kidney
image1313,Where is this?,urinary
image1314,Does subdiaphragmatic abscess show renal cell carcinoma with extension into vena cava?,no
image1314,Where is this?,urinary
image1314,Does this image show renal cell carcinoma with extension into vena cava?,yes
image1315,Is renal cell carcinoma present?,yes
image1315,How many halves does this image show of kidney with superior pole very hemorrhagic tumor?,two
image1315,Where is this?,urinary
image1315,Does musculoskeletal show two halves of kidney with superior pole very hemorrhagic tumor?,no
image1315,Is hematologic present?,no
image1315,Does this image show two halves of kidney with superior pole very hemorrhagic tumor?,yes
image1316,Where is this?,urinary
image1316,Is acute lymphocytic leukemia present?,no
image1316,Is polycystic disease infant present?,yes
image1316,Does papilloma on vocal cord show cut surface both kidneys?,no
image1316,Does this image show cut surface both kidneys?,yes
image1317,Does this image show hydronephrosis?,yes
image1317,Does myocardium show hydronephrosis?,no
image1317,Where is this?,urinary
image1317,What does this image show?,hydronephrosis
image1318,"Does teratocarcinoma show kidney, pyelonephritis, acute?",no
image1318,"Does this image show kidney, pyelonephritis, acute?",yes
image1318,What does this image show?,kidney
image1318,Where is this?,urinary
image1319,"Does disease show kidney, candida abscesses?",no
image1319,Where is this?,urinary
image1319,What does this image show?,kidney
image1319,"Does this image show kidney, candida abscesses?",yes
image1320,"Does this image show renal papillary necrosis, diabetes mellitus dm?",yes
image1320,"Does pierre robin sndrome show renal papillary necrosis, diabetes mellitus dm?",no
image1320,Where is this?,urinary
image1321,How is the transplant placed  to other structures?,relative
image1321,Where is this?,urinary
image1321,How is the transplant placed relative to  structures?,other
image1321,Is the transplant placed relative to other structures?,yes
image1321,Is serous cyst placed relative to other structures?,no
image1322,What is present?,ischemia
image1322,Where is this?,urinary
image1322,Is metastatic malignant ependymoma present?,no
image1322,Is ischemia present?,yes
image1323,Where is this?,urinary
image1323,"Does mycobacterium avium intracellulare show kidney, candida abscesses?",no
image1323,"Does this image show kidney, candida abscesses?",yes
image1323,What does this image show?,kidney
image1324,Is bladder present?,yes
image1324,Does this image show opened bladder quite good with diverticula?,yes
image1324,Where is this?,urinary
image1324,Does submaxillary gland show opened bladder quite good with diverticula?,no
image1324,Is schwannoma present?,no
image1324,What is present?,urinary
image1324,Is urinary present?,yes
image1324,Is mucicarmine present?,no
image1324,What is present?,bladder
image1324,Is palmar crease normal present?,no
image1324,Is hypertrophy and hemorrhagic cystitis present?,yes
image1325,Where is this?,urinary
image1325,Does this image show surface lesion capsule stripped unusual?,yes
image1325,Does urinary show surface lesion capsule stripped unusual?,no
image1325,What is present?,kidney
image1325,How is surface lesion capsule stripped  ?,unusual
image1325,Is hypopharyngeal edema stripped unusual?,no
image1325,Is kidney present?,yes
image1325,Is no tissue recognizable as ovary present?,no
image1325,Is sarcoidosis present?,yes
image1325,What is present?,sarcoidosis
image1325,Is palmar crease normal present?,no
image1325,Is surface lesion capsule stripped unusual?,yes
image1326,Does this image show renal cyst?,yes
image1326,Does metastatic carcinoma lung show renal cyst?,no
image1326,Where is this?,urinary
image1327,What does this image show?,kidney
image1327,"Does this image show kidney, metastatic lung carcinoma?",yes
image1327,"Does obvious metastatic lesion 44yobfadenocarcinoma of lung giant cell type show kidney, metastatic lung carcinoma?",no
image1327,Where is this?,urinary
image1328,Where is this?,urinary
image1328,What does this image show?,kidney
image1328,"Does this image show kidney, candida abscesses?",yes
image1328,"Does palpable purpura with desquamation show kidney, candida abscesses?",no
image1329,Is pharynx opened the other from capsular surface many cysts?,no
image1329,How many kidney does this image show nice photo opened the other from capsular surface many cysts?,one
image1329,Does this image show nice photo one kidney opened the other from capsular surface many cysts?,yes
image1329,Is Multicystic present?,yes
image1329,Is nice photo one kidney opened the other from capsular surface many cysts?,yes
image1329,What is nice photo one kidney opened?,nice
image1329,How much kidney opened the other from capsular surface many cysts?,one
image1329,Is adrenal of premature 30 week gestation gram infant lesion present?,no
image1329,Where is this?,urinary
image1329,Does external view of knee at autopsy show nice photo one kidney opened the other from capsular surface many cysts?,no
image1329,How is nice photo one kidney opened the other from capsular surface  cysts ?,many
image1329,What is present?,Multicystic
image1330,Does this image show hyaline membrane disease?,yes
image1330,Does subdiaphragmatic abscess show hyaline membrane disease?,no
image1331,"Does carcinomatosis endometrium primary show skin, kaposi 's sarcoma?",no
image1331,"Does this image show skin, kaposi 's sarcoma?",yes
image1331,What does this image show?,skin
image1332,"Does this image show skin, kaposi 's sarcoma?",yes
image1332,What does this image show?,skin
image1332,"Does natural color show skin, kaposi 's sarcoma?",no
image1333,Does this image show hemolytic disease of newborn?,yes
image1333,Does cachexia show hemolytic disease of newborn?,no
image1334,Does newborn cord around neck show hemolytic disease of newborn?,no
image1334,Does this image show hemolytic disease of newborn?,yes
image1335,Does this image show hemolytic disease of newborn?,yes
image1335,Does acid show hemolytic disease of newborn?,no
image1336,Does chest and abdomen slide show hyaline membrane disease?,no
image1336,Does this image show hyaline membrane disease?,yes
image1337,What is present ?,gastrointestinal
image1337,Is breast present?,no
image1337,Is gastrointestinal present?,yes
image1337,What is present?,gastrointestinal
image1337,"Does polycystic disease show colon biopsy, cryptosporidia?",no
image1337,"Does this image show colon biopsy, cryptosporidia?",yes
image1338,"Does this image show colon biopsy, cryptosporidia?",yes
image1338,"Does serous cyst show colon biopsy, cryptosporidia?",no
image1338,What is present?,gastrointestinal
image1338,Is gastrointestinal present?,yes
image1338,Is krukenberg tumor present?,no
image1338,What is present ?,gastrointestinal
image1339,What is present?,gastrointestinal
image1339,Is gastrointestinal present?,yes
image1339,Is anencephaly present?,no
image1339,"Does this image show colon biopsy, cryptosporidia?",yes
image1339,"Does previous slide from this case show colon biopsy, cryptosporidia?",no
image1339,What is present ?,gastrointestinal
image1340,What is present ?,gastrointestinal
image1340,Is gastrointestinal present?,yes
image1340,What is present?,gastrointestinal
image1340,"Does pus in test tube show colon biopsy, cryptosporidia?",no
image1340,"Does this image show colon biopsy, cryptosporidia?",yes
image1340,Is nodular tumor present?,no
image1341,What is present ?,gastrointestinal
image1341,Is vasculature present?,no
image1341,Is gastrointestinal present?,yes
image1341,What is present?,gastrointestinal
image1341,"Does foot show colon, cryptosporidia?",no
image1341,"Does this image show colon, cryptosporidia?",yes
image1341,What does this image show?,colon
image1342,Has quite good liver marked fatty change?,yes
image1342,Has mesentery marked fatty change?,no
image1342,What is present?,abdomen
image1342,Is abdomen present?,yes
image1342,Do liver with tuberculoid granuloma in glissons capsule quite good liver has marked fatty change?,yes
image1342,Is tuberculous peritonitis present?,no
image1342,What is present?,peritoneum
image1342,Does this image show liver with tuberculoid granuloma in glissons capsule quite good liver has marked fatty change?,yes
image1342,Is opened muscle present?,no
image1342,Is tuberculous peritonitis present?,yes
image1342,What is present ?,Abdomen
image1342,What is present ?,peritoneum
image1342,How has quite good liver marked  change?,fatty
image1342,Is peritoneum present?,yes
image1342,Is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?,no
image1343,Is carcinoma present?,no
image1343,Is peritoneal fluid present?,yes
image1343,Is tuberculous peritonitis present?,no
image1343,Is abdomen present?,yes
image1343,What is present?,abdomen
image1343,Does pus in test tube show adenocarcinoma from mixed mesodermal uterine tumor?,no
image1343,Does this image show adenocarcinoma from mixed mesodermal uterine tumor?,yes
image1343,What is present?,carcinoma
image1343,Is carcinoma present?,yes
image1343,Is mesentery present?,no
image1343,What is present ?,Abdomen
image1343,What is present ?,carcinoma
image1344,What is present ?,Cardiovascular
image1344,Where is this area in the body?,heart
image1344,Is subdiaphragmatic abscess present?,no
image1344,"Does carcinoma show heart, myocardial infarction, map of coronary artery lesions?",no
image1344,"Does this image show heart, myocardial infarction, map of coronary artery lesions?",yes
image1344,What does this image show?,heart
image1344,Is cardiovascular present?,yes
image1344,What is present?,cardiovascular
image1345,Is acute peritonitis present?,no
image1345,Where is this area in the body?,heart
image1345,What is present?,cardiovascular
image1345,Does intraductal papillomatosis show coronary artery atherosclerosis diagram?,no
image1345,Does this image show coronary artery atherosclerosis diagram?,yes
image1345,What is present ?,Cardiovascular
image1345,Is cardiovascular present?,yes
image1346,Does lymphangiomatosis generalized show tissue about tumor with tumor cells?,no
image1346,What is present?,endocrine
image1346,Is endocrine present?,yes
image1346,Is aorta present?,no
image1346,What is present?,pituitary
image1346,Is pituitary present?,yes
image1346,What is present ?,pituitary
image1346,Is vessel present?,no
image1346,Does this image show tissue about tumor with tumor cells?,yes
image1346,Is carcinomatosis endometrium primary present?,no
image1346,Is malignant adenoma present?,yes
image1346,What is present ?,endocrine
image1347,"Does this image show parathyroid adenoma, h & e low mag?",yes
image1347,"Does cm show parathyroid adenoma, h & e low mag?",no
image1347,What is present?,endocrine
image1347,Is endocrine present?,yes
image1347,Is sacrococcygeal teratoma present?,no
image1347,What is present ?,endocrine
image1348,What is present ?,endocrine
image1348,What does this image show?,parathyroid
image1348,"Does this image show parathyroid, carcinoma?",yes
image1348,"Does thyroid show parathyroid, carcinoma?",no
image1348,Is pus in test tube present?,no
image1348,Is endocrine present?,yes
image1348,What is present?,endocrine
image1349,What is present?,endocrine
image1349,What is present ?,endocrine
image1349,Is vessel present?,no
image1349,Is endocrine present?,yes
image1349,"Does hematoma show pancreas, microthrombi, thrombotic thrombocytopenic purpura?",no
image1349,"Does this image show pancreas, microthrombi, thrombotic thrombocytopenic purpura?",yes
image1349,What does this image show?,pancreas
image1350,"Does this image show pituitary, chromaphobe adenoma?",yes
image1350,"Does this section showing liver with tumor mass in hilar area tumor show pituitary, chromaphobe adenoma?",no
image1350,What does this image show?,pituitary
image1350,What is present?,endocrine
image1350,Is endocrine present?,yes
image1350,Is atrophy present?,no
image1350,What is present ?,endocrine
image1351,What is present ?,endocrine
image1351,Is metastatic carcinoma prostate present?,no
image1351,Is endocrine present?,yes
image1351,What is present?,endocrine
image1351,"Does this image show pancreas, microthrombi, thrombotic thrombocytopenic purpura?",yes
image1351,"Does atherosclerosis show pancreas, microthrombi, thrombotic thrombocytopenic purpura?",no
image1351,What does this image show?,pancreas
image1352,What is present ?,thyroid
image1352,Is thyroid present?,yes
image1352,Is surface present?,no
image1352,What is present?,cytomegalovirus
image1352,Is cytomegalovirus present?,yes
image1352,Is carcinomatosis present?,no
image1352,What is present ?,endocrine
image1352,What is present?,thyroid
image1352,Is beckwith-wiedemann syndrome present?,no
image1352,Is endocrine present?,yes
image1352,What is present?,endocrine
image1352,What is present ?,cytomegalovirus
image1353,Is this typical lesion present?,no
image1353,What is present ?,adrenal
image1353,Does this image show infarction and hemorrhage well shown?,yes
image1353,Does all the fat necrosis show infarction and hemorrhage well shown?,no
image1353,Is endocrine present?,yes
image1353,Is carcinoma present?,no
image1353,What is present?,endocrine
image1353,Is adrenal present?,yes
image1353,Is hemorrhage newborn present?,yes
image1353,Is atrophy present?,no
image1353,What is present ?,endocrine
image1353,What is present?,adrenal
image1354,Is endocrine present?,yes
image1354,What does this image show?,parathyroid
image1354,"Does this image show parathyroid, normal?",yes
image1354,"Does quite good liver show parathyroid, normal?",no
image1354,What is present?,endocrine
image1354,Is conjoined twins present?,no
image1354,What is present ?,endocrine
image1355,What does this image show?,thyroid
image1355,"Does this image show thyroid, nodular hyperplasia?",yes
image1355,"Does notochord show thyroid, nodular hyperplasia?",no
image1355,What is present?,endocrine
image1355,What is present ?,endocrine
image1355,Is typical tuberculous exudate present?,no
image1355,Is endocrine present?,yes
image1356,Is polycystic disease present?,no
image1356,Is endocrine present?,yes
image1356,What is present?,endocrine
image1356,"Does pus in test tube show pituitary, chromaphobe adenoma?",no
image1356,What is present ?,endocrine
image1356,What does this image show?,pituitary
image1356,"Does this image show pituitary, chromaphobe adenoma?",yes
image1357,"Does this section show pancreas, microthrombi, thrombotic thrombocytopenic purpura?",no
image1357,What is present ?,endocrine
image1357,"Does this image show pancreas, microthrombi, thrombotic thrombocytopenic purpura?",yes
image1357,What does this image show?,pancreas
image1357,Is lateral view present?,no
image1357,Is endocrine present?,yes
image1357,What is present?,endocrine
image1358,What is present?,endocrine
image1358,Is endocrine present?,yes
image1358,Is intraductal papillomatosis with apocrine metaplasia present?,no
image1358,What is present ?,endocrine
image1358,What does this image show?,thyroid
image1358,"Does marked show thyroid, nodular hyperplasia?",no
image1358,"Does this image show thyroid, nodular hyperplasia?",yes
image1359,Is this image present?,no
image1359,"Does this image show pituitary, chromaphobe adenoma?",yes
image1359,"Does marfans syndrome show pituitary, chromaphobe adenoma?",no
image1359,What does this image show?,pituitary
image1359,What is present ?,endocrine
image1359,What is present?,endocrine
image1359,Is endocrine present?,yes
image1360,What is present ?,endocrine
image1360,Is side present?,no
image1360,"Does rocky mountain show thyroid, nodular hyperplasia?",no
image1360,"Does this image show thyroid, nodular hyperplasia?",yes
image1360,What is present?,endocrine
image1360,What does this image show?,thyroid
image1360,Is endocrine present?,yes
image1361,Does this image show excellent example?,yes
image1361,Does marked show excellent example?,no
image1361,What is present?,endocrine
image1361,Is endocrine present?,yes
image1361,Is slide present?,no
image1361,What is present?,adrenal
image1361,Is adrenal present?,yes
image1361,Is pus in test tube present?,no
image1361,Is aldactone bodies present?,yes
image1361,Is hearts present?,no
image1361,What is present ?,endocrine
image1361,What is present ?,adrenal
image1362,Is quite good liver present?,no
image1362,What is present?,endocrine
image1362,What is present ?,pituitary
image1362,Is endocrine present?,yes
image1362,Is 70yof present?,no
image1362,What is present?,pituitary
image1362,Is pituitary present?,yes
image1362,Is chromophobe adenoma present?,yes
image1362,Is this image present?,no
image1362,What is present ?,endocrine
image1363,What is present ?,endocrine
image1363,Is carcinoma metastatic lung present?,no
image1363,Is endocrine present?,yes
image1363,What is present?,endocrine
image1363,"Does leiomyosarcoma show pituitary, chromaphobe adenoma?",no
image1363,"Does this image show pituitary, chromaphobe adenoma?",yes
image1363,What does this image show?,pituitary
image1364,"Does atherosclerosis show thyroid, nodular hyperplasia?",no
image1364,"Does this image show thyroid, nodular hyperplasia?",yes
image1364,What does this image show?,thyroid
image1364,What is present ?,endocrine
image1364,Is chest and abdomen slide present?,no
image1364,Is endocrine present?,yes
image1364,What is present?,endocrine
image1365,What is present ?,endocrine
image1365,Is nodule present?,no
image1365,Is endocrine present?,yes
image1365,What is present?,endocrine
image1365,"Does stillborn cord around neck show adrenal gland, severe hemorrhage waterhouse-friderichsen syndrome?",no
image1365,"Does this image show adrenal gland, severe hemorrhage waterhouse-friderichsen syndrome?",yes
image1366,Is crookes cells present?,yes
image1366,Is mitotic figures present?,no
image1366,What is present?,endocrine
image1366,What is present ?,pituitary
image1366,What is present ?,endocrine
image1366,Is endocrine present?,yes
image1366,Is metastatic carcinoma prostate present?,no
image1366,What is present?,pituitary
image1366,Is pituitary present?,yes
image1366,Is this image shows of smooth muscle cell with lipid in sarcoplasm and lipid present?,no
image1367,Is Hemochromatosis present?,yes
image1367,What is present ?,Hemochromatosis
image1367,Does this image show marked atrophy with iron in epithelium and lymphocytic infiltrate?,yes
image1367,Does this typical lesion show marked atrophy with iron in epithelium and lymphocytic infiltrate?,no
image1367,What is present?,endocrine
image1367,Is thyroid present?,yes
image1367,Is opened muscle present?,no
image1367,What is present?,thyroid
image1367,Is vasculature present?,no
image1367,What is present?,Hemochromatosis
image1367,Is endocrine present?,yes
image1367,Is hemochromatosis present?,no
image1367,What is present ?,thyroid
image1367,What is present ?,endocrine
image1368,Is endocrine present?,yes
image1368,What is present ?,endocrine
image1368,Is marked present?,no
image1368,What is present?,endocrine
image1368,"Does endocrine show adrenal gland, severe hemorrhage waterhouse-friderichsen syndrome?",no
image1368,"Does this image show adrenal gland, severe hemorrhage waterhouse-friderichsen syndrome?",yes
image1369,Is heart present?,no
image1369,Is endocrine present?,yes
image1369,What is present?,endocrine
image1369,"Does myocardium show pancreas, islet hyalinization, diabetes mellitus?",no
image1369,"Does this image show pancreas, islet hyalinization, diabetes mellitus?",yes
image1369,What does this image show?,pancreas
image1369,What is present ?,endocrine
image1370,"Does history show pancreas, islet hyalinization, diabetes mellitus?",no
image1370,What does this image show?,pancreas
image1370,What is present?,endocrine
image1370,Is endocrine present?,yes
image1370,Is chest and abdomen slide present?,no
image1370,What is present ?,endocrine
image1370,"Does this image show pancreas, islet hyalinization, diabetes mellitus?",yes
image1371,Is endocrine present?,yes
image1371,What is present ?,endocrine
image1371,"Does this image show adrenal gland, normal histology?",yes
image1371,"Does nodular tumor show adrenal gland, normal histology?",no
image1371,What is present?,endocrine
image1371,Is intraductal papillomatosis present?,no
image1372,Is situs inversus present?,no
image1372,What is present?,Hemochromatosis
image1372,Is quite good liver present?,no
image1372,Is pituitary present?,yes
image1372,What is present?,pituitary
image1372,Is lateral view present?,no
image1372,Is endocrine present?,yes
image1372,What is present?,endocrine
image1372,Does abdomen show iron stain abundant iron?,no
image1372,Does this image show iron stain abundant iron?,yes
image1372,Does this photo of infant from head to toe stain abundant iron?,no
image1372,Is Hemochromatosis present?,yes
image1372,Does iron stain abundant iron?,yes
image1372,What stain abundant iron?,iron
image1372,What is present ?,endocrine
image1372,What is present ?,pituitary
image1372,What is present ?,Hemochromatosis
image1372,How does iron stain  iron ?,abundant
image1372,What stain abundant iron ?,iron
image1373,What is present ?,adenoma
image1373,What is present ?,pituitary
image1373,What is present ?,endocrine
image1373,Is adenoma present?,yes
image1373,What is present?,adenoma
image1373,Is natural color present?,no
image1373,Is pituitary present?,yes
image1373,Is amyloidosis present?,no
image1373,Is hemorrhage in newborn present?,no
image1373,What is present?,endocrine
image1373,Is endocrine present?,yes
image1373,Does this image show papillary lesion unusual?,yes
image1373,What is present?,pituitary
image1373,Does acute lymphocytic leukemia show papillary lesion unusual?,no
image1374,Is endocrine present?,yes
image1374,What is present ?,adrenal
image1374,What is present ?,endocrine
image1374,Is situs inversus present?,no
image1374,Is metastatic carcinoma present?,yes
image1374,Is lesion of myocytolysis present?,no
image1374,Is adrenal present?,yes
image1374,What is present?,adrenal
image1374,Is atrophy secondary to pituitectomy present?,no
image1374,Does all the fat necrosis show primary in stomach?,no
image1374,Does this image show primary in stomach?,yes
image1374,What is present?,endocrine
image1375,What is present ?,endocrine
image1375,Is yo present?,no
image1375,Does this image show excellent example lymphocytes and hurthle like cells no recognizable thyroid tissue?,yes
image1375,Does situs inversus show excellent example lymphocytes and hurthle like cells no recognizable thyroid tissue?,no
image1375,What is present?,endocrine
image1375,Is endocrine present?,yes
image1375,Is all the fat necrosis present?,no
image1375,Is autoimmune thyroiditis present?,yes
image1376,Is papillary adenoma present?,yes
image1376,What is present?,endocrine
image1376,Is endocrine present?,yes
image1376,What is present ?,endocrine
image1377,What is present ?,Amyloidosis
image1377,Is Amyloidosis present?,yes
image1377,What are several slides from this case in this file 23 yowf amyloid limited to brain?,there
image1377,What is present?,Amyloidosis
image1377,Are there several slides from this case in this file 23 yowf amyloid limited to brain?,yes
image1377,What are several slides from this case in this file 23 yowf amyloid limited to brain ?,there
image1378,What is present ?,endocrine
image1378,Is parathyroid present?,no
image1378,What is present?,endocrine
image1378,Does liver show multiple cortical hemorrhages which may be the early stage of a gross adrenal hemorrhage?,no
image1378,Is endocrine present?,yes
image1378,Does this image show multiple cortical hemorrhages which may be the early stage of a gross adrenal hemorrhage?,yes
image1379,What is present?,endocrine
image1379,Is endocrine present?,yes
image1379,What is present?,adrenal
image1379,Is adrenal present?,yes
image1379,What is present ?,endocrine
image1379,What is present ?,adrenal
image1379,Does this image show atrophy secondary to corticoid therapy?,yes
image1380,Is acid present?,no
image1380,Is endocrine present?,yes
image1380,What is present ?,endocrine
image1380,Is infant body present?,no
image1380,What is present?,endocrine
image1380,Does this image show med bizarre hurthle type cells with lymphocytic infiltrate no recognizable thyroid tissue?,yes
image1380,Does stillborn cord around neck show med bizarre hurthle type cells with lymphocytic infiltrate no recognizable thyroid tissue?,no
image1380,Is autoimmune thyroiditis present?,yes
image1381,Does natural color show iron stain?,no
image1381,What stain?,iron
image1381,Does iron stain?,yes
image1381,Does this image show iron stain?,yes
image1381,What is present?,endocrine
image1381,Does muscle atrophy stain?,no
image1381,What is present ?,adrenal
image1381,What is present ?,Hemochromatosis
image1381,Is endocrine present?,yes
image1381,What is present ?,endocrine
image1381,What stain ?,iron
image1381,Is beckwith-wiedemann syndrome present?,no
image1381,Is adrenal present?,yes
image1381,What is present?,Hemochromatosis
image1381,Is case of peritonitis slide present?,no
image1381,What is present?,adrenal
image1381,Is parathyroid present?,no
image1381,Is Hemochromatosis present?,yes
image1382,What is present ?,adrenal
image1382,Does this image show localization of cytomegaly well shown?,yes
image1382,Does this typical lesion show localization of cytomegaly well shown?,no
image1382,What is present?,endocrine
image1382,Is endocrine present?,yes
image1382,Is parathyroid present?,no
image1382,What is present?,adrenal
image1382,Is adrenal present?,yes
image1382,Is fibrotic lesion present?,no
image1382,What is present ?,endocrine
image1383,Does this image show rather good example of atrophy case of type i diabetes with pituitectomy for nine years for retinal lesions?,yes
image1383,What is present?,endocrine
image1383,Is endocrine present?,yes
image1383,Is very good example present?,no
image1383,What is present?,adrenal
image1383,Is adrenal present?,yes
image1383,Is capillary present?,no
image1383,Is atrophy secondary to pituitectomy present?,yes
image1383,Is chromophobe adenoma present?,no
image1383,What is present ?,endocrine
image1383,What is present ?,adrenal
image1384,Is adrenal present?,yes
image1384,Is sacrococcygeal teratoma present?,no
image1384,Is lymphoma present?,yes
image1384,Is angiogram present?,no
image1384,What is present ?,endocrine
image1384,What is present?,adrenal
image1384,What is present?,lymphoma
image1384,Is endocrine present?,yes
image1384,What is present?,endocrine
image1384,Does aldehyde fuscin show easily seen infiltrate?,no
image1384,Does this image show easily seen infiltrate?,yes
image1384,What is present ?,adrenal
image1384,Is adenocarcinoma present?,no
image1384,What is present ?,lymphoma
image1385,What is present?,endocrine
image1385,Does lymphangiomatosis generalized show diffuse infiltrate?,no
image1385,Does this image show diffuse infiltrate?,yes
image1385,Is endocrine present?,yes
image1385,Is angiogram present?,no
image1385,What is present?,adrenal
image1385,Is adrenal present?,yes
image1385,Is polycystic disease present?,no
image1385,Is malignant lymphoma present?,yes
image1385,Is carcinoma present?,no
image1385,What is present ?,endocrine
image1385,What is present ?,adrenal
image1386,"Does rocky mountain show adrenal gland, normal histology?",no
image1386,What is present ?,endocrine
image1386,Is endocrine present?,yes
image1386,What is present?,endocrine
image1386,"Does this image show adrenal gland, normal histology?",yes
image1387,Is crookes cells present?,yes
image1387,What is present ?,pituitary
image1387,What is present?,endocrine
image1387,Is endocrine present?,yes
image1387,What is present ?,endocrine
image1387,What is present?,pituitary
image1387,Is pituitary present?,yes
image1387,Is liver present?,no
image1387,Is situs inversus present?,no
image1388,What is present?,endocrine
image1388,Does metastatic carcinoma lung show good photo of tumor cells?,no
image1388,What is present?,parathyroid
image1388,Is parathyroid present?,yes
image1388,Is capillary present?,no
image1388,Is mucoepidermoid carcinoma present?,yes
image1388,Is endocrine present?,yes
image1388,Is immunostain for growth hormone present?,no
image1388,What is present ?,endocrine
image1388,What is present ?,parathyroid
image1388,Does this image show good photo of tumor cells?,yes
image1388,Is heart present?,no
image1389,What is present?,endocrine
image1389,Is endocrine present?,yes
image1389,Is granulomata slide present?,no
image1389,What is present ?,endocrine
image1389,"Does this image show thyroid, follicular ademona?",yes
image1389,What does this image show?,thyroid
image1389,"Does notochord show thyroid, follicular ademona?",no
image1390,What is present ?,endocrine
image1390,What is present?,endocrine
image1390,"Does polycystic disease show thyroid gland, normal?",no
image1390,"Does this image show thyroid gland, normal?",yes
image1390,Is intraductal papillomatosis with apocrine metaplasia present?,no
image1390,Is endocrine present?,yes
image1391,Is chest and abdomen slide present?,no
image1391,Does this image show hashimoto 's thyroiditis?,yes
image1391,Does another fiber other frame show hashimoto 's thyroiditis?,no
image1391,What is present?,endocrine
image1391,Is endocrine present?,yes
image1391,What is present ?,endocrine
image1392,What is present?,endocrine
image1392,Is hematoma present?,no
image1392,What is present ?,endocrine
image1392,Is endocrine present?,yes
image1392,"Does lesion of myocytolysis show thyroid gland, normal?",no
image1392,"Does this image show thyroid gland, normal?",yes
image1393,What is present?,endocrine
image1393,Does leiomyosarcoma show hashimoto 's thyroiditis?,no
image1393,Does this image show hashimoto 's thyroiditis?,yes
image1393,Is nodule present?,no
image1393,What is present ?,endocrine
image1393,Is endocrine present?,yes
image1394,Is beckwith-wiedemann syndrome present?,no
image1394,What is present?,endocrine
image1394,What is present ?,pituitary
image1394,What is present ?,endocrine
image1394,Is atheromatous embolus present?,no
image1394,Is malignant adenoma present?,yes
image1394,Does conjoined twins show hemorrhagic tissue in region of lesion several slides on this case?,no
